timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-27T00:00	baseline	elon-musk-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	full_test
2026-05-27T00:15	r1-workflow	elon-musk-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/OUT per step; D2 7→9; D8 held at 9	full_test
2026-05-27T00:30	r2-dedupe	elon-musk-perspective	84.4	85.9	keep	architecture	consolidated banned-vocab to single canonical list in "How I Talk"; D7 8→9; D8 held at 9	full_test
2026-05-27T00:45	r3-breakvoice	elon-musk-perspective	85.9	88.0	keep	checkpoint_design	added "When to Break Voice" section with 5 triggers + non-coverage cross-ref; D4 6→9; D8 held at 9	full_test
2026-05-27T00:50	baseline	garry-tan-perspective	-	84.1	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=7 D5=9 D6=9 D7=8 D8=9	dry_run
2026-05-27T01:00	baseline	ben-horowitz-perspective	-	80.6	baseline	-	initial scoring; D1=8 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T01:00	baseline	charlie-munger-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T01:10	r1-workflow	ben-horowitz-perspective	80.6	83.6	keep	workflow_clarity	rewrote Response Workflow with explicit IN/ACTION/OUT per step; D2 7→9; D8 held at 9	dry_run
2026-05-27T01:15	r1-workflow	charlie-munger-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/OUT per step + default model search order; D2 7→9; D8 held at 9	dry_run
2026-05-27T00:55	r1-workflow	garry-tan-perspective	84.1	87.1	keep	workflow_clarity	rewrote Response Workflow with explicit IN/DO/OUT per step; D2 7→9; D8 held at 9	dry_run
2026-05-27T01:20	r2-dedupe	ben-horowitz-perspective	83.6	85.1	keep	architecture	consolidated banned-vocab to single canonical list in How I Talk; fixed F**irst typo in Model 3; D7 8→9; D8 held at 9	dry_run
2026-05-27T01:30	r2-dedupe	charlie-munger-perspective	84.4	85.9	keep	architecture	consolidated banned-vocab to single canonical list in "How I Talk"; collapsed Required/Forbidden duplicates via cross-ref to Workflow Step 6; D7 8→9; D8 held at 9	dry_run
2026-05-27T01:30	r3-breakvoice	ben-horowitz-perspective	85.1	87.2	keep	checkpoint_design	added When to Break Voice section with 5 triggers + cross-refs to Workflow Step 6 and Forbidden; D4 6→9; D8 held at 9	dry_run
2026-05-27T01:00	r2-breakvoice	garry-tan-perspective	87.1	88.5	keep	checkpoint_design	added When to Break Voice with 8 explicit triggers + cross-ref from workflow step 6; D4 7→9; D8 held at 9	dry_run
2026-05-27T01:45	r3-breakvoice	charlie-munger-perspective	85.9	88.0	keep	checkpoint_design	added "When to Break Voice" section with 5 triggers + non-coverage cross-ref to Workflow Step 6; D4 6→9; D8 held at 9	dry_run
2026-05-27T01:05	r3-dedupe	garry-tan-perspective	88.5	89.3	keep	architecture	collapsed Forbidden hip-hop-register bullet to pointer at When to Break Voice #8; D7 8→8.5; D8 held at 9	dry_run
2026-05-27T01:50	baseline	naval-ravikant-perspective	-	83.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=9 D7=8 D8=9	dry_run
2026-05-27T01:55	baseline	nassim-taleb-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T02:00	r1-workflow	naval-ravikant-perspective	83.4	86.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/ACTION/OUT per step + forward cross-ref to When to Break Voice; D2 7→9; D8 held at 9	dry_run
2026-05-27T04:20	baseline	peter-thiel-perspective	-	83.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=9 D7=8 D8=9	dry_run
2026-05-27T02:00	baseline	tom-eisenmann-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T02:05	r1-workflow	nassim-taleb-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/DO/OUT per step + per-step output tags (regime label / asymmetry tag / verdict-shaped sentence / IYI call / calibration tag); D2 7→9; D8 held at 9	dry_run
2026-05-27T02:10	r2-dedupe	naval-ravikant-perspective	86.4	87.9	keep	architecture	consolidated banned-vocab to single canonical categorized list in How I Talk; replaced Forbidden vocab line with pointer; D7 8→9; D8 held at 9	dry_run
2026-05-27T02:10	r1-workflow	tom-eisenmann-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/OUT per step + forward cross-ref to When to Break Voice; D2 7→9; D8 held at 9	dry_run
2026-05-27T02:15	r2-dedupe	nassim-taleb-perspective	84.4	85.9	keep	architecture	consolidated banned-vocab and banned-registers to single canonical list in "How I Talk"; Forbidden now points there; added centrist throat-clearing prohibition; D7 8→9; D8 held at 9	dry_run
2026-05-27T02:20	r3-breakvoice	naval-ravikant-perspective	87.9	90.0	keep	checkpoint_design	added When to Break Voice section with 5 explicit triggers (clinical MH, mass-consumer, family, partisan politics, Impossible Inc.) each with in-voice refusal template; cross-ref from Workflow Step 6; D4 6→9; D8 held at 9	dry_run
2026-05-27T02:20	r2-dedupe	tom-eisenmann-perspective	84.4	85.9	keep	architecture	consolidated banned-vocab to single canonical list in How I Talk; collapsed Forbidden third-person meta to single bullet + cross-ref to Break Voice; D7 8→9; D8 held at 9	dry_run
2026-05-27T04:30	r1-workflow	peter-thiel-perspective	83.4	86.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/DO/OUT per step + 6-question taxonomy mapped to 6 models; D2 7→9; D8 held at 9	dry_run
2026-05-27T02:25	r3-breakvoice	nassim-taleb-perspective	85.9	88.0	keep	checkpoint_design	added "When to Break Voice" section with 6 explicit triggers (acute distress; child safety; medical/legal emergency; explicit meta-request; pure factual lookup; hate beyond Taleb edge) + cross-ref from Workflow Step 6; D4 6→9; D8 held at 9	dry_run
2026-05-27T02:30	r3-breakvoice	tom-eisenmann-perspective	85.9	88.0	keep	checkpoint_design	added When to Break Voice section with 5 triggers + non-coverage cross-ref to Workflow Step 6; D4 6→9; D8 held at 9	dry_run
2026-05-27T02:35	baseline	vilfredo-pareto-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T02:40	r1-workflow	vilfredo-pareto-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/ACTION/OUT per step + derivation-class tagging in Step 3 + forward cross-ref to When to Break Voice from Step 6; D2 7→9; D8 held at 9	dry_run
2026-05-27T02:45	r2-dedupe	vilfredo-pareto-perspective	84.4	85.9	keep	architecture	consolidated banned-vocab to single canonical categorized list in "How I Talk" (words / terms / registers); Forbidden now points there; collapsed "irrational"-vs-"non-logical" rule and AI-boilerplate duplicate; D7 8→9; D8 held at 9	dry_run
2026-05-27T02:50	r3-breakvoice	vilfredo-pareto-perspective	85.9	88.0	keep	checkpoint_design	added "When to Break Voice" section with 5 explicit triggers (1923-24 Fascism direct; misattributed quotes incl. "fruitful error"; period-bound asides on women/gender/race/empire; truly post-1923 phenomena; safety/identity/legal handoffs) + cross-ref from Workflow Step 6 and from canonical Banned-vocab list; D4 6→9; D8 held at 9	dry_run
2026-05-27T04:40	r2-dedupe	peter-thiel-perspective	86.4	87.9	keep	architecture	merged redundant Forbidden bullets into Required #1; made cross-ref to canonical "Words I never use" explicit; D7 8→9; D8 held at 9	dry_run
2026-05-27T04:20	baseline	jeff-bezos-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T04:25	r1-workflow	jeff-bezos-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow as 6 steps with explicit IN/OUT per step (added register-calibration step + hard-limits refusal step); D2 7→9; D8 held at 9	dry_run
2026-05-27T04:30	r2-dedupe	jeff-bezos-perspective	84.4	85.9	keep	architecture	consolidated Required/Forbidden duplicates via cross-ref to Workflow Step 6 and canonical "Words I never use" list in How I Talk; trimmed Forbidden from 6 to 4 bullets; D7 8→9; D8 held at 9	dry_run
2026-05-27T04:35	r3-breakvoice	jeff-bezos-perspective	85.9	88.0	keep	checkpoint_design	added "When to Break Voice" section with 5 explicit triggers (action requests / safety / personalized financial advice / explicit step-out / fact-check) + non-coverage cross-ref to Workflow Step 6; D4 6→9; D8 held at 9	dry_run
2026-05-27T04:50	r3-breakvoice	peter-thiel-perspective	87.9	90.0	keep	checkpoint_design	added "When to Break Voice" section with 8 triggers + inverse stay-in-voice list + cross-ref from Workflow Step 5; D4 6→9; D8 held at 9	dry_run
2026-05-27T13:55	baseline	steve-jobs-perspective	-	81.4	baseline	-	initial scoring; D1=9 D2=7 D3=9 D4=6 D5=9 D6=5 D7=8 D8=9	dry_run
2026-05-27T14:00	r1-workflow	steve-jobs-perspective	81.4	84.4	keep	workflow_clarity	rewrote Response Workflow with explicit IN/DO/OUT per step (6 steps; added register-calibration step + forward cross-ref to When to Break Voice from Step 6); D2 7→9; D8 held at 9	dry_run
2026-05-27T14:05	r2-dedupe	steve-jobs-perspective	84.4	85.9	keep	architecture	consolidated banned-vocab to canonical list in "How I Talk → Words I never use"; Forbidden + Required now cross-ref out; collapsed AI-hedging/safety-boilerplate duplicate; D7 8→9; D8 held at 9	dry_run
2026-05-27T14:10	r3-breakvoice	steve-jobs-perspective	85.9	88.0	keep	checkpoint_design	added "When to Break Voice" section with 5 explicit triggers (action requests / safety / personalized medical-legal-financial / post-2011 predictions / partisan-hate-impersonation) + cross-ref from Workflow Step 6; D4 6→9; D8 held at 9	dry_run
